# Note - You may enter notes about your run here. \u00a0They will be displayed every time this log is loaded.
# Graph Data - 7 Sessions - Saved Wednesday, May 25, 2011
# Start Of Session - Sample Time: 0.500
# Reset Source (Cause of reset):  Normal Boot-up Sequence
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.6833      , 52.941      , 24.29       , 0.596       , 17.3        , 97.4        , 65021       
1.6833      , 50.588      , 24.29       , 0.596       , 17.3        , 97.4        , 62628       
1.6833      , 54.902      , 24.29       , 0.596       , 22.8        , 97.4        , 60945       
1.6833      , 60.000      , 24.44       , 0.596       , 26.4        , 96.6        , 60584       
1.6833      , 63.529      , 24.44       , 0.596       , 31.0        , 96.6        , 61496       
1.6833      , 63.922      , 24.44       , 0.596       , 30.1        , 97.4        , 62246       
1.6833      , 65.882      , 24.44       , 0.894       , 32.8        , 97.4        , 61682       
1.6833      , 65.882      , 24.44       , 0.596       , 31.9        , 97.4        , 62628       
1.6833      , 65.098      , 24.44       , 0.894       , 30.1        , 97.4        , 62436       
1.6833      , 63.529      , 24.44       , 0.596       , 27.3        , 97.4        , 63209       
1.6833      , 62.745      , 24.44       , 0.596       , 27.3        , 97.4        , 62436       
1.6833      , 62.353      , 24.44       , 0.596       , 28.3        , 97.4        , 62436       
1.6833      , 62.353      , 24.44       , 0.596       , 28.3        , 97.4        , 62246       
1.6833      , 62.745      , 24.44       , 0.596       , 28.3        , 97.4        , 62436       
1.6833      , 62.353      , 24.29       , 0.596       , 27.3        , 97.4        , 62628       
1.6833      , 63.137      , 24.44       , 0.894       , 29.2        , 97.4        , 62057       
1.6833      , 62.745      , 24.44       , 0.596       , 28.3        , 98.2        , 62821       
1.6833      , 58.824      , 24.29       , 0.596       , 22.8        , 98.2        , 63802       
1.6833      , 55.294      , 24.29       , 0.447       , 21.0        , 98.2        , 63209       
1.6833      , 55.294      , 24.29       , 0.596       , 21.9        , 98.2        , 62436       
1.6833      , 56.078      , 24.44       , 0.596       , 22.8        , 98.2        , 62246       
1.6833      , 56.863      , 24.44       , 0.596       , 23.7        , 98.2        , 62057       
1.6833      , 57.255      , 24.44       , 0.596       , 23.7        , 98.2        , 62246       
1.6833      , 57.255      , 24.44       , 0.447       , 23.7        , 98.2        , 62436       
1.6833      , 57.255      , 24.29       , 0.447       , 22.8        , 98.2        , 62436       
1.6833      , 56.863      , 24.44       , 0.596       , 23.7        , 98.2        , 62246       
1.6833      , 57.255      , 24.29       , 0.447       , 23.7        , 97.4        , 62246       
1.6833      , 57.255      , 24.29       , 0.447       , 22.8        , 98.2        , 62246       
1.6833      , 57.255      , 24.29       , 0.447       , 23.7        , 98.2        , 62436       
1.6833      , 57.255      , 24.29       , 0.447       , 23.7        , 99.1        , 62436       
1.6833      , 57.255      , 24.29       , 0.447       , 23.7        , 98.2        , 62246       
1.6833      , 57.255      , 24.29       , 0.447       , 23.7        , 99.1        , 62246       
1.6833      , 57.647      , 24.29       , 0.447       , 23.7        , 99.1        , 62246       
1.6833      , 57.647      , 24.44       , 0.596       , 23.7        , 96.6        , 62436       
1.6833      , 57.255      , 24.29       , 0.447       , 22.8        , 101.6       , 62628       
1.6833      , 60.000      , 24.29       , 0.745       , 26.4        , 99.1        , 61311       
1.6833      , 61.961      , 24.44       , 0.894       , 29.2        , 99.1        , 61682       
1.6833      , 63.137      , 24.29       , 0.596       , 29.2        , 99.1        , 62057       
1.6833      , 62.353      , 24.44       , 0.596       , 27.3        , 99.1        , 62628       
1.6833      , 60.784      , 24.29       , 0.447       , 25.5        , 102.4       , 63014       
1.6833      , 59.216      , 24.29       , 0.447       , 24.6        , 100.7       , 62821       
1.6833      , 59.216      , 24.29       , 0.447       , 24.6        , 99.1        , 62436       
1.6833      , 59.608      , 24.29       , 0.596       , 25.5        , 99.9        , 62057       
1.6833      , 59.608      , 24.29       , 0.745       , 25.5        , 99.9        , 62246       
1.6833      , 59.608      , 24.29       , 0.596       , 25.5        , 99.9        , 62436       
1.6833      , 59.608      , 24.29       , 0.745       , 24.6        , 99.9        , 62246       
1.6833      , 60.392      , 24.29       , 0.745       , 26.4        , 99.9        , 61869       
1.6833      , 61.961      , 24.29       , 0.745       , 27.3        , 98.2        , 61869       
1.6833      , 62.745      , 24.29       , 0.745       , 29.2        , 99.9        , 62057       
1.6833      , 63.529      , 24.29       , 0.745       , 29.2        , 99.9        , 62246       
1.6833      , 63.529      , 24.29       , 0.745       , 29.2        , 99.9        , 62246       
1.6833      , 63.529      , 24.29       , 0.745       , 29.2        , 100.7       , 62436       
1.6833      , 63.137      , 24.29       , 0.745       , 29.2        , 100.7       , 62436       
1.6833      , 63.137      , 24.29       , 0.745       , 28.3        , 103.3       , 62436       
1.6833      , 63.137      , 24.29       , 0.745       , 28.3        , 100.7       , 62436       
1.6833      , 62.745      , 24.29       , 0.745       , 29.2        , 100.7       , 62246       
1.6833      , 62.745      , 24.29       , 0.745       , 28.3        , 100.7       , 62436       
1.6833      , 63.137      , 24.29       , 0.745       , 28.3        , 100.7       , 62436       
1.6833      , 62.353      , 24.29       , 0.745       , 27.3        , 100.7       , 62436       
1.6833      , 62.745      , 24.29       , 0.745       , 27.3        , 100.7       , 62246       
1.6833      , 63.137      , 24.29       , 0.745       , 29.2        , 100.7       , 62246       
1.6833      , 63.922      , 24.29       , 0.894       , 29.2        , 101.6       , 62246       
1.6833      , 63.529      , 24.29       , 0.745       , 28.3        , 101.6       , 62246       
1.6833      , 63.137      , 24.29       , 0.745       , 28.3        , 101.6       , 62628       
1.6833      , 61.961      , 24.29       , 0.745       , 26.4        , 101.6       , 62821       
1.6833      , 60.000      , 24.29       , 0.745       , 24.6        , 101.6       , 62821       
1.6833      , 60.784      , 24.14       , 0.745       , 25.5        , 101.6       , 61869       
1.6833      , 63.137      , 24.29       , 0.894       , 28.3        , 101.6       , 61682       
1.6833      , 63.922      , 24.29       , 0.596       , 30.1        , 101.6       , 61869       
1.6833      , 64.314      , 24.29       , 0.745       , 29.2        , 102.4       , 62246       
1.6833      , 64.314      , 24.29       , 0.745       , 29.2        , 102.4       , 62246       
1.6833      , 64.706      , 24.29       , 0.745       , 29.2        , 101.6       , 62057       
1.6833      , 66.275      , 24.14       , 0.745       , 31.0        , 102.4       , 61682       
1.6833      , 66.275      , 24.29       , 0.894       , 31.0        , 102.4       , 62436       
1.6833      , 68.235      , 24.29       , 0.894       , 33.7        , 102.4       , 61496       
1.6833      , 69.804      , 24.29       , 0.894       , 36.5        , 103.3       , 62057       
1.6833      , 70.588      , 24.44       , 0.894       , 36.5        , 103.3       , 62246       
1.6833      , 70.196      , 24.29       , 0.894       , 34.6        , 103.3       , 62821       
1.6833      , 65.098      , 24.29       , 0.745       , 27.3        , 103.3       , 64203       
1.6833      , 59.608      , 24.14       , 0.596       , 21.9        , 103.3       , 64002       
1.6833      , 56.471      , 24.14       , 0.596       , 21.0        , 103.3       , 63406       
1.6833      , 55.686      , 24.14       , 0.596       , 21.0        , 103.3       , 62628       
1.6833      , 55.686      , 24.14       , 0.596       , 21.0        , 105.9       , 62246       
1.6833      , 56.078      , 24.14       , 0.596       , 21.9        , 103.3       , 62246       
1.6833      , 56.471      , 24.14       , 0.596       , 21.9        , 103.3       , 62057       
1.6833      , 58.824      , 24.14       , 0.745       , 24.6        , 103.3       , 61311       
1.6833      , 62.353      , 24.14       , 0.745       , 27.3        , 106.8       , 61128       
1.6833      , 65.098      , 24.29       , 0.894       , 31.0        , 104.1       , 61311       
1.6833      , 66.667      , 24.14       , 0.894       , 31.9        , 104.1       , 62057       
1.6833      , 65.490      , 24.29       , 0.745       , 30.1        , 101.6       , 62821       
1.6833      , 63.529      , 24.14       , 0.596       , 27.3        , 105.0       , 63209       
1.6833      , 61.961      , 24.14       , 0.596       , 25.5        , 104.1       , 63014       
1.6833      , 59.608      , 24.14       , 0.596       , 23.7        , 104.1       , 63209       
1.6833      , 58.039      , 24.14       , 0.596       , 21.9        , 104.1       , 62821       
1.6833      , 58.039      , 24.14       , 0.745       , 22.8        , 104.1       , 62057       
1.6833      , 59.216      , 24.14       , 0.596       , 24.6        , 104.1       , 61869       
1.6833      , 60.392      , 24.14       , 0.596       , 26.4        , 104.1       , 62057       
1.6833      , 60.784      , 24.14       , 0.745       , 25.5        , 102.4       , 62246       
1.6833      , 61.176      , 24.14       , 0.745       , 25.5        , 104.1       , 62057       
1.6833      , 61.176      , 24.14       , 0.745       , 26.4        , 104.1       , 62246       
1.6833      , 60.784      , 24.14       , 0.745       , 25.5        , 104.1       , 62436       
1.6833      , 60.392      , 24.14       , 0.745       , 25.5        , 104.1       , 62628       
1.6833      , 61.176      , 24.14       , 0.745       , 25.5        , 105.0       , 61869       
1.6833      , 65.490      , 24.14       , 0.745       , 31.0        , 105.0       , 60945       
1.6833      , 67.843      , 24.14       , 0.745       , 33.7        , 105.0       , 61682       
1.6833      , 69.020      , 24.14       , 0.894       , 34.6        , 105.0       , 61869       
1.6833      , 69.804      , 24.14       , 0.894       , 34.6        , 104.1       , 62246       
1.6833      , 66.667      , 24.14       , 0.745       , 29.2        , 105.0       , 63802       
1.6833      , 61.569      , 23.99       , 0.596       , 24.6        , 105.0       , 64002       
1.6833      , 58.824      , 23.99       , 0.596       , 22.8        , 103.3       , 63014       
1.6833      , 59.216      , 24.14       , 0.745       , 23.7        , 105.9       , 61869       
1.6833      , 62.353      , 24.14       , 0.596       , 27.3        , 105.9       , 61128       
1.6833      , 64.706      , 24.14       , 0.745       , 30.1        , 105.9       , 61496       
1.6833      , 66.275      , 24.14       , 0.894       , 31.0        , 105.9       , 61869       
1.6833      , 67.059      , 24.14       , 0.894       , 31.0        , 105.9       , 62246       
1.6833      , 67.059      , 24.14       , 0.745       , 30.1        , 105.9       , 62057       
1.6833      , 68.627      , 24.14       , 0.894       , 31.9        , 105.9       , 61869       
1.6833      , 68.627      , 24.14       , 0.745       , 31.9        , 105.9       , 62436       
1.6833      , 67.451      , 24.14       , 0.745       , 30.1        , 105.9       , 63014       
1.6833      , 65.490      , 24.14       , 0.745       , 29.2        , 105.9       , 63014       
1.6833      , 63.922      , 24.14       , 0.745       , 27.3        , 105.9       , 62628       
1.6833      , 64.314      , 24.14       , 0.894       , 29.2        , 106.8       , 62057       
1.6833      , 65.098      , 23.99       , 0.596       , 29.2        , 105.9       , 62057       
1.6833      , 65.490      , 24.14       , 0.745       , 29.2        , 105.9       , 62246       
1.6833      , 64.706      , 24.14       , 0.894       , 27.3        , 103.3       , 62628       
1.6833      , 64.706      , 24.14       , 0.894       , 29.2        , 105.9       , 62246       
1.6833      , 64.706      , 24.14       , 0.745       , 29.2        , 105.0       , 62436       
1.6833      , 64.706      , 24.14       , 0.894       , 29.2        , 106.8       , 62246       
1.6833      , 65.490      , 23.99       , 0.596       , 29.2        , 106.8       , 62057       
1.6833      , 65.490      , 23.99       , 0.745       , 30.1        , 106.8       , 62246       
1.6833      , 65.490      , 23.99       , 0.745       , 30.1        , 106.8       , 62436       
1.6833      , 65.882      , 23.99       , 0.894       , 29.2        , 106.8       , 62057       
1.6833      , 69.412      , 23.99       , 0.894       , 30.1        , 106.8       , 61128       
1.6833      , 69.412      , 23.99       , 0.894       , 32.8        , 106.8       , 62246       
1.6833      , 72.157      , 24.14       , 1.043       , 34.6        , 106.8       , 61682       
1.6833      , 71.373      , 24.14       , 0.894       , 33.7        , 107.7       , 63014       
1.6833      , 67.843      , 23.99       , 0.745       , 29.2        , 107.7       , 63406       
1.6833      , 68.627      , 24.14       , 0.894       , 29.2        , 107.7       , 62057       
1.6833      , 69.412      , 23.99       , 0.894       , 29.2        , 107.7       , 62057       
1.6833      , 69.412      , 24.14       , 0.894       , 31.9        , 111.3       , 62246       
1.6833      , 70.196      , 23.99       , 0.745       , 32.8        , 107.7       , 62057       
1.6833      , 70.196      , 23.99       , 0.745       , 32.8        , 108.6       , 62628       
1.6833      , 67.451      , 23.99       , 0.745       , 30.1        , 108.6       , 63014       
1.6833      , 67.451      , 23.99       , 0.745       , 30.1        , 108.6       , 62436       
1.6833      , 66.275      , 23.99       , 0.745       , 28.3        , 111.3       , 62628       
1.6833      , 65.882      , 23.99       , 0.745       , 29.2        , 108.6       , 62246       
1.6833      , 67.843      , 23.99       , 0.745       , 29.2        , 107.7       , 61682       
1.6833      , 69.020      , 23.99       , 0.894       , 30.1        , 108.6       , 61496       
1.6833      , 70.980      , 23.99       , 0.894       , 32.8        , 108.6       , 62246       
1.6833      , 72.549      , 24.14       , 1.043       , 32.8        , 108.6       , 61311       
1.6833      , 72.157      , 23.99       , 0.894       , 32.8        , 109.5       , 62821       
1.6833      , 72.941      , 23.99       , 0.894       , 33.7        , 109.5       , 62436       
1.6833      , 70.980      , 23.99       , 0.745       , 30.1        , 109.5       , 62628       
1.6833      , 69.412      , 23.99       , 0.745       , 30.1        , 109.5       , 63209       
1.6833      , 64.314      , 23.99       , 0.745       , 24.6        , 109.5       , 64002       
1.6833      , 61.176      , 23.84       , 0.447       , 22.8        , 109.5       , 63209       
1.6833      , 60.392      , 23.84       , 0.596       , 23.7        , 109.5       , 62628       
1.6833      , 60.392      , 23.84       , 0.596       , 24.6        , 109.5       , 62057       
1.6833      , 61.176      , 23.99       , 0.596       , 24.6        , 108.6       , 62057       
1.6833      , 61.176      , 23.84       , 0.596       , 24.6        , 108.6       , 62246       
1.6833      , 62.353      , 23.84       , 0.596       , 26.4        , 105.9       , 62246       
1.6833      , 62.353      , 23.99       , 0.745       , 25.5        , 108.6       , 62246       
1.6833      , 62.745      , 23.84       , 0.596       , 26.4        , 109.5       , 62246       
1.6833      , 62.745      , 23.99       , 0.596       , 26.4        , 108.6       , 62246       
1.6833      , 62.745      , 23.99       , 0.596       , 26.4        , 109.5       , 62246       
1.6833      , 63.137      , 23.99       , 0.745       , 26.4        , 109.5       , 62436       
1.6833      , 62.745      , 23.84       , 0.745       , 25.5        , 109.5       , 62246       
1.6833      , 62.353      , 23.84       , 0.596       , 25.5        , 109.5       , 62436       
1.6833      , 72.941      , 23.99       , 1.192       , 38.3        , 106.8       , 56871       
1.6833      , 83.529      , 24.29       , 1.937       , 103.9       , 110.4       , 60584       
1.6833      , 82.353      , 23.99       , 1.341       , 83.9        , 111.3       , 62821       
1.6833      , 78.824      , 23.84       , 1.043       , 48.3        , 112.2       , 64610       
1.6833      , 64.314      , 23.84       , 0.596       , 20.1        , 113.2       , 66721       
1.6833      , 57.647      , 23.69       , 0.447       , 17.3        , 109.5       , 64406       
1.6833      , 51.765      , 23.69       , 0.447       , 15.5        , 112.2       , 65021       
1.6833      , 45.490      , 23.69       , 0.447       , 12.8        , 112.2       , 64002       
1.6833      , 43.137      , 23.84       , 0.447       , 11.8        , 115.1       , 63014       
1.6833      , 43.922      , 23.69       , 0.596       , 13.7        , 112.2       , 61496       
1.6833      , 49.804      , 23.69       , 0.447       , 17.3        , 111.3       , 60404       
1.6833      , 55.686      , 23.84       , 0.596       , 22.8        , 112.2       , 60584       
1.6833      , 59.608      , 23.69       , 0.745       , 24.6        , 110.4       , 60945       
1.6833      , 61.569      , 23.84       , 0.745       , 25.5        , 111.3       , 61869       
1.6833      , 61.569      , 23.84       , 0.596       , 24.6        , 111.3       , 62436       
1.6833      , 60.392      , 23.84       , 0.447       , 23.7        , 111.3       , 62628       
1.6833      , 60.000      , 23.69       , 0.745       , 22.8        , 111.3       , 62436       
1.6833      , 59.608      , 23.84       , 0.596       , 22.8        , 111.3       , 62246       
1.6833      , 59.608      , 23.84       , 0.596       , 22.8        , 111.3       , 62246       
1.6833      , 59.608      , 23.84       , 0.447       , 23.7        , 111.3       , 62246       
1.6833      , 59.608      , 23.84       , 0.745       , 22.8        , 112.2       , 62436       
